city,type,value,timestamp
skopje,pm10,20,2018-06-05T14:00:00+02:00
skopje,pm10,16,2018-06-06T14:00:00+02:00
skopje,pm10,19,2018-06-07T14:00:00+02:00
skopje,pm10,23,2018-06-08T14:00:00+02:00
skopje,pm10,24,2018-06-09T14:00:00+02:00
skopje,pm10,20,2018-06-10T14:00:00+02:00
skopje,pm10,26,2018-06-11T14:00:00+02:00
skopje,pm10,31,2018-06-12T14:00:00+02:00
skopje,pm10,27,2018-06-13T14:00:00+02:00
skopje,pm10,22,2018-06-14T14:00:00+02:00
skopje,pm10,14,2018-06-15T14:00:00+02:00
skopje,pm10,14,2018-06-16T14:00:00+02:00
skopje,pm10,13,2018-06-17T14:00:00+02:00
skopje,pm10,18,2018-06-18T14:00:00+02:00
skopje,pm10,16,2018-06-19T14:00:00+02:00
skopje,pm10,20,2018-06-20T14:00:00+02:00
skopje,pm10,20,2018-06-21T14:00:00+02:00
skopje,pm10,18,2018-06-22T14:00:00+02:00
skopje,pm10,11,2018-06-23T14:00:00+02:00
skopje,pm10,11,2018-06-24T14:00:00+02:00
skopje,pm10,13,2018-06-25T14:00:00+02:00
skopje,pm10,11,2018-06-26T14:00:00+02:00
skopje,pm10,9,2018-06-27T14:00:00+02:00
skopje,pm10,11,2018-06-28T14:00:00+02:00
skopje,pm10,13,2018-06-29T14:00:00+02:00
skopje,pm10,13,2018-06-30T14:00:00+02:00
skopje,pm10,17,2018-07-01T14:00:00+02:00
skopje,pm10,19,2018-07-02T14:00:00+02:00
skopje,pm10,20,2018-07-03T14:00:00+02:00
skopje,pm10,23,2018-07-04T14:00:00+02:00
skopje,pm10,18,2018-07-05T14:00:00+02:00
skopje,pm10,23,2018-07-06T14:00:00+02:00
skopje,pm10,18,2018-07-07T14:00:00+02:00
skopje,pm10,18,2018-07-08T14:00:00+02:00
skopje,pm10,11,2018-07-09T14:00:00+02:00
skopje,pm10,14,2018-07-10T14:00:00+02:00
skopje,pm10,18,2018-07-11T14:00:00+02:00
skopje,pm10,18,2018-07-12T14:00:00+02:00
skopje,pm10,23,2018-07-13T14:00:00+02:00
skopje,pm10,20,2018-07-14T14:00:00+02:00
skopje,pm10,20,2018-07-15T14:00:00+02:00
skopje,pm10,17,2018-07-16T14:00:00+02:00
skopje,pm10,20,2018-07-17T14:00:00+02:00
skopje,pm10,18,2018-07-18T14:00:00+02:00
skopje,pm10,18,2018-07-19T14:00:00+02:00
skopje,pm10,25,2018-07-20T14:00:00+02:00
skopje,pm10,22,2018-07-21T14:00:00+02:00
skopje,pm10,22,2018-07-22T14:00:00+02:00
skopje,pm10,19,2018-07-23T14:00:00+02:00
skopje,pm10,18,2018-07-24T14:00:00+02:00
